Identifier,Subject
tpp_logs,"twitch,irc,twitch plays pokémon,tpp,pokémon,pokemon,pokemon red,pokémon red,red"
TwitchPlaysPokemon,
TwitchPlaysPokemonSaveFiles,"twitch,twitch plays pokemon,pokemon"
tpp_ultra_screenshots,"tpp,pokemon,screenshot,twitchplayspokemon,democracy,emulator,twitch"
TwitchPlaysPokemonHeartGoldSaveFile,"twitch,pokemon,save file,emulator"
TwitchPlaysPokemonPlatinumSaveFile,"twitch,pokemon,save file,emulator"
live_user_twitchplayspokemon_1407024801,twitch plays pokemon
tppcolosseumsavefile,"twitch,pokemon,save file,emulator,twitchplayspokemon"
TwitchPlaysPokemonBlack2SaveFile,"twitch,pokemon,save file,emulator"
TwitchPlaysPokemonEmeraldSaveFile,"twitch,pokemon,save file,emulator"
TwitchPlaysPokemonRedSaveFile,"twitch,pokemon,save file,emulator"
TheMadHouseTalkTwitchPlaysPokemon,"pokemon,twitch,student,radio,nerd,geek,belfield,fm,ucd,dublin,ireland"
TwitchPlaysPokemonBlackSaveFile,"twitch,pokemon,save file,emulator"
gametrailers-848_20140412,"Gaming,youtube,GameTrailers"
TwitchPlaysPokemonFireRedSaveFile,"twitch,pokemon,save file,emulator"
tppmoemonsavefile,"twitch,pokemon,save file,emulator,twitchplayspokemon,moemon"
pokered473,"twitch,pokemon,save file,emulator,twitchplayspokemon"
TwitchPlaysPokemonRedAnniversarySaveFile,"twitch,pokemon,save file,emulator,twitchplayspokemon"
TwitchPlaysPokemonPlatinumPart2,"twitch plays pokemon,tpp,pokemon"
TwitchPlaysPokemonCrystalSaveFile,"twitch,pokemon,save file,emulator"
pokered470,"twitch,pokemon,save file,emulator,twitchplayspokemon"
TwitchPlaysPokemonConquestSaveFile,"twitch,pokemon,save file,emulator"
TwitchPlaysPokemonTwitchVSBlueFINALBATTLEEnding,"dec3199,twitch,live,comments,pokemon,nintendo,game freak,ending,battle"
tppfireredpostgamesave,"twitch,pokemon,save file,emulator,twitchplayspokemon"
tppxdsavefile,"twitch,pokemon,save file,emulator,twitchplayspokemon,xd minglee"
tpptouhoumonsavefile,"twitch,pokemon,save file,emulator,twitchplayspokemon,touhou"
tppvietcrystal,"twitchplayspokemon,tpp,pokemon,revo,projectrevotpp,emulator,sgm"
tpparbatterysaves,"twitchplayspokemon,twitch plays pokemon,pokemon,emulator,save file,projectrevotpp"
tppvietcrystalfinalpatch,"twitchplayspokemon,tpp,revo,Projectrevotpp,pokemon,patch,ips,emulator"
tpp_pmd_red_sidegame_screenshots,"tpp,twitch,pmd,emulator"
tpp_elf_images,"tpp,viet crystal,pokemon,screenshot,elf,bort,twitchplayspokemon,democracy,emulator,oqt"
tpprassavedumps,"twitchplayspokemon,twitch plays pokemon,save,pokemon,projectrevotpp"
vitozone_twitch_Vito_Plays_Pokemon_Cards_2,"Vito Gesualdi,VitoZone,Twitch,live stream,video games,Pokémon Trading Card Game Online"
tppstadium2dbdump,twitchplayspokemon
vitozone_twitch_Vito_Plays_Pokemon_Cards_4,"Vito Gesualdi,VitoZone,Twitch,live stream,video games,Pokémon Trading Card Game Online"
vitozone_twitch_Vito_Plays_Pokemon_Cards_1,"Vito Gesualdi,VitoZone,Twitch,live stream,video games,Pokémon Trading Card Game Online"
vitozone_twitch_Vito_Plays_Pokemon_Cards_3,"Vito Gesualdi,VitoZone,Twitch,live stream,video games,Pokémon Trading Card Game Online"
youtube-TND5YP6UGcc,"Youtube,video,Gaming,funny pokemon pictures,Pokemon memes,Pokemon memes 2014,Pokemon memes funny,Pokemon memes 1,Pokemon memes 5,Pokemon memes 6,funny Pokemon memes pictures,best Pokemon memes,funniest Pokemon memes,twitch plays Pokemon memes,Pokemon shaming is now a thing,Pokemon,Pokemon Omega Ruby and Alpha sapphire,Pokemon X and Y,Pokémon (Brand),Pokémon (TV Program),Pokémon (Video Game Series),funny picture"
youtube-hih-CkakhSY,"Youtube,video,People & Blogs,Gameplay pokemon go - teespring com [Summit1G],gameplay pokemon go,Pokémon Go - Mobile game,pokemon go trailer,pokemon go android,pokemon go descargar,pokemon go battle,pokemon go,Pokémon Go,Pokémon - Brand,pokemon,Gameplay pokemon go - Twitch Plays Pokemon Go"
Episode012-EleventhMoonPodcast,"regional observations,documentaries,traveling woes,HD television,Craig calls technology,Twitch Plays Pokemon,and Pokemon general"
lifeisleet_006,"video games,anime,podcast,nerds"
lifeisleet_005,"video games,anime,podcast,nerds"
3HitCombo129PraiseTheHelix,"Twitch plays pokemon,Pokemon,Twitch.tv,Blizzard,Games,Gaming,Technology,News,3 Hit Combo Podcast,Comedy,Podcast,Funny"
20150817_201508,"Video Games,Podcast,Pinball,Sesame Street,Pokemon"
3HitCombo130HotPocketMartyr,"Twitch plays pokemon,Pokemon,Hot pockets,games,gaming,technology,comedy,podcast,funny,news,3 hit combo podcast"
Episode05_201407,"geek,tech,news,comics,video games,movies,podcast,television"
TheGamingDeathPodcastEpisode84DrunkenRobotPornography,"Fallout 4,Transistor,Titanfall,Doom,Irrational Games,Twitch plays Pokemon,Chroma,Rune Factory 4,Video Games in March,podcast,gaming"
20160322_20160323,"Video Games,Podcast,Pinball,Factoria,Pokemon"
jollyswagmen06,"#swag,Jolly Swag Men,J#SM,Jolly #Swag Men,Podcast"
MindcrackPodcastEpisode63,"mindcrack,podcast"